0:6
1:6
2:6
3:6
4:6
5:6
6:6
10:6
7:6
8:6
14:6
12:6
9:6
15:6
18:6
23:6
13:6
17:6
27:6
28:6
36:6
11:6
16:6
37:6
30:6
21:6
26:6
31:6
35:6
32:6
22:6
29:6
69:6
39:6
19:6
20:6
44:6
49:6
42:6
40:6
24:6
34:6
33:6
55:6
54:6
38:6
50:6
41:6
47:6
46:6
53:6
45:6
59:6
60:6
65:6
25:6
57:6
61:6
52:6
68:6
62:6
63:6
64:6
66:6
51:6
48:6
99:6
70:6
58:6
56:6
71:6
75:6
78:6
92:6
77:6
79:6
67:6
81:6
73:6
103:6
105:6
82:6
83:6
120:6
74:6
88:6
85:6
89:6
117:6
116:6
87:6
121:6
80:6
95:6
126:6
90:6
101:6
97:6
91:6
130:6
106:6
122:6
138:6
100:6
140:6
96:6
143:6
151:6
111:6
152:6
94:6
93:6
110:6
109:6
163:6
104:6
169:6
107:6
150:6
158:6
76:6
183:6
185:6
176:6
114:6
102:6
113:6
98:6
205:6
167:6
191:6
84:6
131:6
216:6
124:6
108:6
206:6
133:6
242:6
118:6
142:6
231:6
224:6
223:6
245:6
252:6
144:6
228:6
237:6
115:6
211:6
123:6
202:6
254:6
137:6
239:6
257:6
256:6
146:6
230:6
264:6
160:6
207:6
267:6
141:6
261:6
222:6
170:6
189:6
145:6
270:6
251:6
210:6
127:6
282:6
235:6
244:6
148:6
129:6
179:6
156:6
240:6
125:6
135:6
155:6
263:6
269:6
184:6
159:6
258:6
172:6
187:6
280:6
227:6
166:6
162:6
132:6
165:6
149:6
147:6
273:6
153:6
271:6
168:6
208:6
287:6
182:6
260:6
174:6
188:6
136:6
178:6
186:6
278:6
200:6
307:6
303:6
154:6
290:6
259:6
274:6
276:6
128:6
134:6
194:6
197:6
177:6
181:6
203:6
195:6
309:6
315:6
164:6
190:6
314:6
279:6
325:6
226:6
312:6
213:6
300:6
214:6
175:6
199:6
297:6
327:6
232:6
212:6
161:6
338:6
171:6
330:6
293:6
220:6
298:6
302:6
198:6
192:6
349:6
250:6
268:6
351:6
204:6
350:6
234:6
236:6
217:6
316:6
348:6
370:6
328:6
355:6
201:6
337:6
375:6
219:6
304:6
358:6
357:6
243:6
241:6
359:6
215:6
372:6
379:6
317:6
383:6
248:6
233:6
410:6
382:6
193:6
388:6
389:6
255:6
422:6
369:6
321:6
363:6
249:6
391:6
417:6
396:6
415:6
221:6
139:6
401:6
419:6
286:6
238:6
456:6
447:6
376:6
411:6
284:6
423:6
247:6
434:6
481:6
253:6
368:6
458:6
225:6
505:6
275:6
475:6
427:6
296:6
288:6
281:6
429:6
229:6
294:6
313:6
435:6
495:6
180:6
301:6
283:6
506:6
291:6
354:6
455:6
485:6
285:6
277:6
547:6
483:6
552:6
292:6
492:6
583:6
489:6
319:6
362:6
541:6
504:6
503:6
459:6
515:6
586:6
573:6
484:6
559:6
525:6
578:6
306:6
521:6
592:6
329:6
323:6
570:6
310:6
535:6
336:6
173:6
544:6
335:6
398:6
638:6
625:6
352:6
531:6
628:6
322:6
612:6
331:6
660:6
511:6
347:6
546:6
326:6
295:6
342:6
395:6
618:6
571:6
371:6
320:6
343:6
662:6
333:6
597:6
653:6
671:6
289:6
569:6
673:6
557:6
608:6
339:6
334:6
607:6
615:6
631:6
528:6
467:6
648:6
679:6
677:6
378:6
341:6
686:6
374:6
344:6
356:6
706:6
646:6
689:6
345:6
402:6
719:6
683:6
667:6
308:6
714:6
697:6
640:6
700:6
685:6
698:6
680:6
340:6
725:6
361:6
353:6
400:6
728:6
674:6
699:6
681:6
708:6
712:6
543:6
364:6
630:6
246:6
715:6
377:6
491:6
550:6
534:6
741:6
365:6
265:6
765:6
437:6
553:6
772:6
748:6
643:6
384:6
445:6
756:6
730:6
406:6
392:6
747:6
563:6
694:6
404:6
770:6
822:6
399:6
746:6
426:6
794:6
432:6
367:6
723:6
690:6
405:6
43:6
786:6
497:6
311:6
784:6
463:6
761:6
520:6
766:6
381:6
413:6
460:6
788:6
768:6
744:6
629:6
346:6
318:6
385:6
366:6
802:6
409:6
622:6
450:6
471:6
442:6
438:6
457:6
418:6
779:6
488:6
424:6
393:6
412:6
